NCBI Protein ID	UniProt_ID
NP_002626.1	Q6MZF9
NP_005879.1	Q6MZF9
NP_998776.1	Q6MZF9
NP_998839.1	V9HW25
NP_998885.1	Q8WYQ3
XP_005244913.1	B4DJ68
NP_004519.1	A0A024R8Z1
XP_005245231.2	A0A024R8Z1
NP_004519.1	O14880
XP_005245231.2	O14880
XP_005245944.1	Q9BV79
NP_079030.3	B3KPU6
XP_005248660.1	B3KPU6
NP_006558.1	O95363
XP_005248869.1	O95363
NP_036373.1	A0A024R012
XP_005249025.1	A0A024R012
NP_006399.1	O95994
XP_005249638.1	O95994
NP_006399.1	Q4JM46
XP_005249638.1	Q4JM46
XP_005249816.1	E9PCR7
XP_005249818.1	E9PDF2
NP_071890.2	A0A090N8Y0
XP_005250027.1	A0A090N8Y0
XP_005250102.1	H7C560
NP_001231535.1	A4D0S9
NP_115938.1	A4D0S9
XP_005250687.1	A4D0S9
XP_005250847.1	A0A024R9B1
XP_005250848.1	A0A024R9B6
XP_005250849.1	A0A024R9B6
XP_005250850.1	A0A024R9B6
XP_005251497.1	W6MEN3
XP_005252129.1	B4DYI6
NP_079114.3	Q8IYQ7
XP_005252654.1	Q8IYQ7
NP_003977.1	O75936
XP_005253216.1	O75936
XP_005253217.1	O75936
XP_005253218.1	O75936
NP_612441.1	A0A024RBL2
XP_005253888.1	A0A024RBL2
NP_612441.1	Q96GA7
XP_005253888.1	Q96GA7
XP_005254393.1	B7Z9J8
NP_006419.2	Q13084
XP_005255098.1	Q13084
NP_001121773.1	A0A024R3C2
NP_001121774.1	A0A024R3C2
NP_065157.1	A0A024R3C2
XP_005255501.1	A0A024R3C2
NP_001121773.1	O43325
NP_001121774.1	O43325
NP_065157.1	O43325
XP_005255501.1	O43325
XP_005256378.1	A0A2R8Y632
NP_008838.2	A0A024R8U9
XP_005256438.1	A0A024R8U9
NP_000143.2	P10253
NP_001073271.1	P10253
NP_001073272.1	P10253
XP_005257250.1	P10253
XP_005257251.1	P10253
NP_001087.2	A0A024R1T9
XP_005257452.1	A0A024R1T9
NP_001139443.1	A0A024R4M8
XP_005258530.1	A0A024R4M8
NP_001186681.1	A0A024QZE3
NP_001186682.1	A0A024QZE3
NP_689572.1	A0A024QZE3
XP_005258562.1	A0A024QZE3
XP_005258563.1	A0A024QZE3
XP_005258744.1	B2RCZ7
NP_055112.2	O95571
XP_005258744.1	O95571
NP_848621.2	A0A024R7K2
XP_005259918.1	A0A024R7K2
NP_848621.2	Q86VD7
XP_005259918.1	Q86VD7
NP_001138888.1	A0A024R7D3
NP_212133.1	A0A024R7D3
NP_940938.1	A0A024R7D3
XP_005259956.1	A0A024R7D3
NP_001138888.1	Q6UW68
NP_212133.1	Q6UW68
NP_940938.1	Q6UW68
XP_005259956.1	Q6UW68
XP_005260946.1	A0A3B3IRY9
NP_001171900.1	Q6FIA3
XP_005261376.1	Q6FIA3
XP_005261565.1	B4DX69
XP_005262954.1	A0A286YEW8
XP_005262955.1	A0A286YF73
XP_005263263.1	Q4KMT7
XP_005264418.1	D3YTC1
XP_005264573.1	A0A2U3TZR0
NP_056155.1	Q15031
XP_005265063.1	Q15031
NP_001161090.1	A0A024R2S9
NP_001161091.1	A0A024R2S9
NP_001245202.1	A0A024R2S9
NP_001245203.1	A0A024R2S9
XP_005265220.1	A0A024R2S9
XP_005265221.1	A0A024R2S9
NP_061764.2	A0A024QZ57
XP_005266078.1	A0A024QZ57
XP_005266079.1	A0A024QZ57
XP_005266080.1	A0A024QZ57
NP_061764.2	Q9UBY8
XP_005266078.1	Q9UBY8
XP_005266079.1	Q9UBY8
XP_005266080.1	Q9UBY8
NP_000044.2	A0A024RDX3
XP_005266487.1	A0A024RDX3
NP_004285.2	A0A024RDT1
XP_005266656.1	A0A024RDT1
XP_005267594.1	A0A5K1VW60
NP_570853.1	Q9H2G0
XP_005268324.1	Q9H2G0
XP_005268325.1	Q9H2G0
XP_005268326.1	Q9H2G0
XP_005268327.1	Q9H2G0
XP_005268328.1	Q9H2G0
NP_001136075.1	Q14154
NP_055588.3	Q14154
XP_005268604.1	Q14154
XP_005268605.1	Q14154
NP_001257551.1	A0A024RBB2
NP_001257552.1	A0A024RBB2
NP_004722.2	A0A024RBB2
XP_005269288.1	A0A024RBB2
NP_001257551.1	O60669
NP_001257552.1	O60669
NP_004722.2	O60669
XP_005269288.1	O60669
NP_001231878.1	Q9HCL2
NP_065969.3	Q9HCL2
XP_005270055.1	Q9HCL2
NP_003365.1	A0A1L1UHR1
XP_005272132.1	A0A1L1UHR1
NP_003365.1	P21796
XP_005272132.1	P21796
NP_852106.1	A0A024R3U3
NP_852119.1	A0A024R3U3
NP_852120.1	A0A024R3U3
NP_852121.1	A0A024R3U3
NP_852128.1	A0A024R3U3
NP_852129.1	A0A024R3U3
NP_852130.1	A0A024R3U3
XP_005273116.1	A0A024R3U3
XP_005273118.1	A0A024R3U3
XP_005273119.1	A0A024R3U3
XP_005273120.1	A0A024R3U3
XP_005273161.1	A0A024R3U5
XP_005273880.1	B4DXI4
NP_000911.2	A0A024R5C5
NP_001035806.1	A0A024R5C5
NP_071504.2	A0A024R5C5
XP_005274088.1	A0A024R5C5
XP_005274089.1	A0A024R5C5
XP_006712813.1	D3DPC4
NP_076996.2	Q14CZ7
XP_006714561.1	Q14CZ7
NP_060694.2	A0A024RA60
XP_005249864.1	A0A024RA60
XP_006715815.1	A0A024RA60
NP_060694.2	Q9GZY4
XP_005249864.1	Q9GZY4
XP_006715815.1	Q9GZY4
NP_036372.1	Q9Y6E7
XP_006719371.1	Q9Y6E7
XP_006719372.1	Q9Y6E7
NP_001263990.1	A1MAC2
NP_064579.3	A1MAC2
XP_011509802.1	A1MAC2
NP_060389.2	P56962
XP_011517122.1	P56962
XP_011517123.1	P56962
NP_001291203.1	Q96LU5
NP_659418.1	Q96LU5
XP_005252869.1	Q96LU5
XP_011518244.1	Q96LU5
XP_011518245.1	Q96LU5
XP_011518246.1	Q96LU5
XP_011518247.1	Q96LU5
XP_011518248.1	Q96LU5
XP_011518249.1	Q96LU5
XP_011522303.1	B4DSJ0
NP_005890.2	A0A024R1V3
NP_114068.1	A0A024R1V3
XP_011523115.1	A0A024R1V3
NP_001276718.1	A0A2U3TZU2
XP_011525056.1	A0A2U3TZU2
NP_612815.1	A0A0S2Z3C5
XP_011527266.1	A0A0S2Z3C5
NP_001012773.2	Q5H9E4
XP_005262186.1	Q5H9E4
XP_011529254.1	Q5H9E4
XP_011529255.1	Q5H9E4
XP_011531798.1	H7BXY3
XP_011531799.1	H7BXY3
XP_011531800.1	H7BXY3
XP_011532357.1	A0A0B4J1R6
NP_062571.1	A0A024RBU1
XP_011536397.1	A0A024RBU1
XP_011536398.1	A0A024RBU1
NP_001137324.1	A0A024RBM9
NP_115676.1	A0A024RBM9
XP_011537138.1	A0A024RBM9
XP_011537139.1	A0A024RBM9
NP_001137324.1	Q9BT92
NP_115676.1	Q9BT92
XP_011537138.1	Q9BT92
XP_011537139.1	Q9BT92
NP_000009.1	P49748-1
NP_001257376.1	P49748-3
NP_001029031.1	P49748-2
NP_000010.1	P24752-1
NP_000039.2	P04424-1
NP_001020115.1	P04424-2
NP_001020114.1	P04424-1
NP_000077.1	Q13286-1
NP_001035897.1	Q13286-1
NP_000082.2	Q01955-1
NP_000088.3	P36551-1
NP_000099.2	P09622-1
NP_000106.1	P24530-1
NP_000107.1	Q16635-1
NP_851829.1	Q16635-5
NP_851828.1	Q16635-3
NP_851830.1	Q16635-7
NP_000133.1	P22607-1
NP_000134.2	P07954-1
NP_000150.1	Q92947-1
NP_039663.1	Q92947-2
NP_000153.1	P35557-1
NP_277043.1	P35557-3
NP_277042.1	P35557-2
NP_000166.2	P06744-1
NP_001171651.1	P06744-2
NP_000173.2	P40939-1
NP_000174.1	P55084-1
NP_000182.2	P35914-1
NP_001159531.1	P35914-2
NP_000189.1	P26439-1
NP_001159592.1	P26439-1
NP_000198.1	P01308-1
NP_000199.2	P06213-1
NP_000209.2	P51787-1
NP_000229.1	Q12809-1
NP_000231.1	P21397-1
NP_001257387.1	P21397-2
NP_000247.2	Q14896-1
NP_000251.3	Q13402-1
NP_000256.4	P14598-1
NP_000259.1	P35240-1
NP_000260.1	P15531-1
NP_937818.1	P15531-2
NP_000262.2	O15118-1
NP_000273.2	P05165-1
NP_001171475.1	P05165-3
NP_001121164.1	P05165-2
NP_000294.1	O15305-1
NP_000301.1	P50897-1
NP_001136076.1	P50897-2
NP_000310.2	P50542-3
NP_000311.2	P09417-1
NP_000319.1	Q92834-2
NP_000328.2	Q92629-2
NP_001121681.1	Q92629-1
XP_005266023.1	Q92629-2
NP_758447.1	Q92629-3
NP_000331.1	P11168-1
NP_000332.2	Q07837-1
NP_000343.2	Q09428-1
NP_000355.2	P45379-10
NP_000373.1	P51648-1
NP_001026976.1	P51648-2
NP_000382.3	O14773-1
NP_000399.3	P43304-1
NP_001076581.2	P43304-1
NP_000421.1	P43034-1
NP_000424.2	P19878-1
NP_000427.1	P55809-1
NP_000432.1	O43511-1
NP_000438.2	P49810-1
NP_000449.1	P35680-1
NP_000457.1	O43933-1
NP_000486.1	P29400-1
NP_000488.3	P15538-1
NP_001021384.1	P15538-2
NP_000518.1	P01130-1
NP_000523.2	P05166-1
NP_001171485.1	P05166-2
NP_000531.2	P21817-1
NP_001036188.1	P21817-2
NP_000572.2	P07203-1
NP_000592.3	P14210-1
NP_000622.2	Q15080-1
NP_000624.2	P10415-1
NP_000687.3	P49189-3
NP_000700.1	P12694-1
NP_000772.2	P05108-1
NP_001093243.1	P05108-2
NP_000874.2	P20839-6
NP_000889.3	P27338-1
NP_000916.2	P11177-1
NP_001166939.1	P11177-3
NP_000968.2	P26373-1
NP_001001503.1	P56181-1
NP_066553.3	P56181-2
NP_001001563.1	Q3ZCQ8-1
NP_001001790.1	Q8N4H5-1
NP_001127956.1	Q8N4H5-2
NP_001127957.1	Q8N4H5-3
NP_001001973.1	P36542-1
NP_005165.1	P36542-2
NP_001002020.1	Q9Y606-2
NP_079491.2	Q9Y606-1
NP_001002019.1	Q9Y606-2
NP_001002031.1	Q06055-3
NP_005167.2	Q06055-1
NP_001003703.1	P18859-1
NP_001003701.1	P18859-2
NP_001003696.1	P18859-1
NP_001003697.1	P18859-1
NP_001676.2	P18859-1
NP_001003785.1	O75947-2
NP_006347.1	O75947-1
NP_001003941.1	Q02218-3
NP_001158508.1	Q02218-2
NP_002532.2	Q02218-1
NP_001004426.1	O60733-2
NP_001005360.1	P50570-1
NP_001177645.1	P50570-5
NP_004936.2	P50570-2
NP_001005361.1	P50570-4
NP_001005362.1	P50570-3
NP_001006942.1	Q92685-2
NP_005778.1	Q92685-1
NP_001007028.1	Q9BVK2-2
NP_076984.2	Q9BVK2-1
NP_001009814.1	A3KMH1-2
NP_055873.1	A3KMH1-1
NP_001009909.2	Q86TE4-1
NP_001010875.1	Q5SVS4-1
NP_001011668.1	Q9BUK0-4
NP_077276.2	Q9BUK0-2
NP_001011669.1	Q9BUK0-3
NP_001011671.1	Q9BUK0-1
NP_001011670.1	Q9BUK0-5
NP_001012533.1	P22830-2
NP_000131.2	P22830-1
NP_001013003.1	Q5JTJ3-1
NP_001013454.1	P25325-1
NP_001123989.1	P25325-1
NP_066949.2	P25325-2
NP_001014446.1	Q56VL3-1
NP_689611.1	Q56VL3-2
NP_001273702.1	Q56VL3-2
NP_001014990.1	Q9NWU5-3
NP_054899.2	Q9NWU5-1
NP_001015001.1	P12532-1
NP_066270.1	P12532-1
NP_001017524.1	Q9NTG7-2
NP_036371.1	Q9NTG7-1
NP_001018004.1	P09493-9
NP_001018024.1	P56277-1
NP_001018025.1	P56278-1
NP_001018070.1	Q96NN9-3
NP_653305.1	Q96NN9-1
NP_001139760.1	Q96NN9-2
NP_001018088.1	Q05932-3
NP_004948.4	Q05932-1
NP_001018114.1	Q6P587-3
NP_112485.1	Q6P587-1
NP_001135870.1	Q6P587-2
NP_001018148.1	P22392-1
NP_001018147.1	P22392-1
NP_001018149.1	P22392-1
NP_001018146.1	P22392-2
NP_002503.1	P22392-1
NP_001018238.1	O00165-5
NP_006109.2	O00165-1
NP_001019636.1	P04179-1
NP_001019637.1	P04179-2
NP_000627.2	P04179-1
NP_001020419.1	P33316-3
NP_001939.1	P33316-2
NP_001025174.1	P41235-6
NP_001026871.1	Q86UY8-1
NP_001026882.2	Q7Z4G4-1
NP_001028260.2	Q9NPE2-2
NP_001028729.1	O75688-4
NP_002697.1	O75688-1
NP_808908.1	O75688-3
NP_808907.1	O75688-2
NP_001028740.1	Q8IXI2-3
NP_060777.3	Q8IXI2-1
NP_001028738.1	Q8IXI2-7
NP_001028755.2	Q9Y305-1
NP_001032248.1	Q9Y305-4
NP_001029345.2	Q3SY69-1
NP_001030590.1	Q99643-5
NP_001030589.1	Q99643-3
NP_002992.1	Q99643-1
NP_001030588.1	Q99643-2
NP_001031.2	P04278-1
NP_001033.1	P14672-1
NP_001033056.1	P22557-2
NP_001033057.1	P22557-4
NP_000023.2	P22557-1
NP_001034230.1	Q9H2D6-1
NP_001034267.1	P56134-4
NP_001003714.1	P56134-3
NP_001003713.1	P56134-2
NP_004880.1	P56134-1
NP_001034444.1	Q8N8R3-1
NP_001034464.1	Q5TEU4-2
NP_001034672.1	Q9NRD5-1
NP_036539.1	Q9NRD5-1
NP_001034673.1	Q9NRD5-1
NP_001034934.1	Q5I0G3-1
NP_001035808.1	Q8TB36-2
NP_061845.2	Q8TB36-1
NP_001035835.1	F8WCM5-1
NP_001035940.1	Q5SZL2-1
NP_001036018.1	Q17R31-2
NP_001036017.1	Q17R31-1
NP_001139642.1	Q17R31-4
NP_001139643.1	Q17R31-3
NP_001139641.1	Q17R31-5
NP_001073136.1	P43699-3
NP_003308.1	P43699-1
NP_001073310.1	Q9NX40-2
NP_001073311.2	Q9NX40-4
NP_060300.1	Q9NX40-1
NP_001073309.1	Q9NX40-4
NP_001073308.1	Q9NX40-1
NP_001073583.1	O75112-2
NP_001073848.1	Q96M98-2
NP_001073847.1	Q96M98-2
NP_689623.2	Q96M98-1
NP_001073901.1	Q9C0B1-1
NP_001073918.2	P51530-1
NP_001075032.1	Q09013-1
NP_001075031.1	Q09013-15
NP_004400.4	Q09013-9
NP_001075029.1	Q09013-11
NP_001075222.1	P15502-12
NP_001075221.1	P15502-7
NP_001265845.1	P15502-8
NP_001075224.1	P15502-13
NP_000492.2	P15502-2
NP_001265844.1	P15502-1
NP_001075223.1	P15502-5
NP_001265868.1	P15502-3
NP_001077083.1	Q5JPH6-1
NP_001077432.1	Q9Y2W6-2
NP_001077433.1	Q9Y2W6-3
NP_001077434.1	Q9Y2W6-2
NP_006853.2	Q9Y2W6-2
NP_001084.3	O00763-1
NP_001092294.1	Q6ZNR0-4
NP_001092293.1	Q6ZNR0-3
NP_001092291.1	Q6ZNR0-1
NP_001092292.1	Q6ZNR0-5
NP_001036060.1	Q6ZNR0-2
NP_001092295.1	Q6ZNR0-5
NP_001092807.1	Q96MF6-3
NP_653177.3	Q96MF6-1
NP_001093097.1	Q9H019-2
NP_001093096.1	Q9H019-1
NP_001093095.1	Q9H019-1
NP_062457.3	Q9H019-1
NP_001093640.1	Q16891-2
XP_005264170.1	Q16891-3
NP_001093639.1	Q16891-4
NP_006830.2	Q16891-1
NP_001094.1	P35609-1
NP_001094344.1	Q4ZJI4-3
NP_001095132.1	O43847-1
NP_002516.2	O43847-2
NP_001095839.1	Q7Z3D6-5
NP_001095838.1	Q7Z3D6-2
NP_079228.4	Q7Z3D6-1
NP_001095837.1	Q7Z3D6-1
NP_001095836.1	Q7Z3D6-1
NP_001096616.1	Q6Y7W6-1
NP_001106678.1	Q8NFU3-1
NP_001106677.1	Q8NFU3-2
NP_001106676.1	Q8NFU3-3
NP_001116105.1	P31327-1
NP_001866.2	P31327-1
NP_001116698.1	Q9Y2Z2-6
NP_598400.1	Q9Y2Z2-1
NP_036255.2	Q9Y2Z2-4
NP_001116850.1	P30566-2
NP_000017.1	P30566-1
NP_001119579.1	P55017-3
NP_000330.2	P55017-2
NP_001119580.1	P55017-1
NP_001119589.1	P04637-9
NP_001119587.1	P04637-7
NP_001119588.1	P04637-8
NP_001119585.1	P04637-3
NP_001119586.1	P04637-2
NP_001119584.1	P04637-1
NP_001119590.1	P04637-4
NP_000537.3	P04637-1
NP_001120800.1	P11310-2
NP_000007.1	P11310-1
NP_001120930.1	Q9UJA2-2
NP_061968.1	Q9UJA2-1
NP_001121188.1	P13804-2
NP_000117.1	P13804-1
NP_001121700.2	Q4KMQ1-1
NP_001122103.1	Q8WVC6-1
NP_079095.3	Q8WVC6-1
NP_001122306.1	P60201-1
NP_955772.1	P60201-2
NP_000524.3	P60201-1
NP_001122387.1	Q07973-2
NP_000773.2	Q07973-1
XP_005260361.1	Q07973-1
NP_001122389.1	O96008-1
NP_001122388.1	O96008-1
NP_006105.1	O96008-1
NP_001123514.1	Q08257-1
NP_001123515.1	Q08257-3
XP_011539049.1	Q08257-1
XP_005270548.1	Q08257-2
NP_001880.2	Q08257-1
NP_001128231.1	Q08257-2
NP_001127703.1	Q9H857-2
NP_075059.1	Q9H857-1
XP_006713368.1	Q9H857-4
XP_005265463.1	Q9H857-4
NP_001127917.1	O94760-2
NP_036269.1	O94760-1
NP_001128634.1	P21964-1
NP_001128633.1	P21964-1
NP_000745.1	P21964-1
NP_009294.1	P21964-2
NP_001128711.1	P00338-4
NP_005557.1	P00338-1
NP_001158886.1	P00338-3
NP_001158887.1	P00338-2
NP_001158888.1	P00338-5
NP_001129166.1	Q9Y277-2
NP_005653.3	Q9Y277-1
NP_001129470.1	Q9NX14-1
NP_061929.2	Q9NX14-2
NP_001129507.1	Q9NXH9-1
NP_060192.1	Q9NXH9-1
NP_001136026.1	Q9NXH9-2
NP_001130010.1	Q6JQN1-5
NP_079523.3	Q6JQN1-1
NP_001135828.1	Q9GZT8-3
NP_068596.2	Q9GZT8-2
NP_001135827.1	Q9GZT8-2
NP_001129511.1	Q9GZT8-1
NP_001135858.1	Q15120-2
NP_005382.1	Q15120-1
NP_001136017.1	Q86TW2-3
NP_065154.2	Q86TW2-2
NP_001136019.1	Q6P087-2
NP_775930.2	Q6P087-1
NP_001136027.1	Q96D53-2
NP_079152.3	Q96D53-1
NP_001137277.1	P23560-1
NP_001137446.1	Q9NR71-2
NP_063946.2	Q9NR71-1
NP_001137469.1	Q9ULD0-3
NP_001137468.1	Q9ULD0-2
NP_060715.2	Q9ULD0-1
NP_001138299.1	Q96CM3-2
NP_116184.2	Q96CM3-1
NP_001138423.1	Q8IVS8-2
NP_660305.2	Q8IVS8-1
NP_001138450.1	Q9H903-4
NP_001138732.1	Q13772-4
NP_005428.1	Q13772-1
NP_001138735.1	Q13772-1
NP_001138734.1	Q13772-1
NP_001138733.1	Q13772-3
NP_001138740.1	Q8N0U4-1
NP_001138767.1	Q96IV0-3
NP_001138766.1	Q96IV0-5
NP_060767.2	Q96IV0-1
NP_001138765.1	Q96IV0-2
NP_001138836.1	Q8NFV4-6
NP_683710.1	Q8NFV4-1
NP_683711.1	Q8NFV4-4
NP_001138863.1	Q9NWU1-2
NP_060367.1	Q9NWU1-1
NP_001139114.1	Q92622-2
NP_055502.1	Q92622-1
NP_001139310.1	Q15390-2
NP_055452.3	Q15390-1
NP_001139443.1	Q8NBN7-1
NP_612421.1	Q8NBN7-2
XP_005258530.1	Q8NBN7-1
NP_001139749.1	Q6PIU2-3
NP_065843.3	Q6PIU2-1
NP_001139748.1	Q6PIU2-2
NP_001139750.1	Q6PIU2-3
NP_001152759.1	P60174-3
NP_001244955.1	P60174-4
NP_000356.1	P60174-1
NP_001153682.1	Q9UJS0-2
NP_055066.1	Q9UJS0-1
NP_001154976.1	P30038-2
NP_733844.1	P30038-1
NP_003739.2	P30038-1
NP_001157704.1	O94830-1
NP_001157750.1	O43826-2
NP_001157752.1	O43826-1
NP_001458.1	O43826-1
NP_001157749.1	O43826-1
NP_001157950.1	A6NC05-2
NP_001157951.1	A6NC05-1
NP_001158184.1	P48728-4
NP_000472.2	P48728-1
NP_001158183.1	P48728-2
NP_001158182.1	P48728-3
NP_001158203.1	Q9H902-2
NP_001158204.1	Q9H902-4
NP_075063.1	Q9H902-1
NP_001158202.1	Q9H902-3
NP_001158245.1	O15382-2
NP_001181.2	O15382-1
NP_001158268.1	Q70HW3-2
NP_001159418.1	P14735-2
NP_004960.2	P14735-1
NP_001159757.1	Q99832-3
NP_001009570.1	Q99832-2
NP_001159756.1	Q99832-4
NP_006420.1	Q99832-1
NP_001159830.1	P34897-3
NP_001159828.1	P34897-2
NP_001159829.1	P34897-3
NP_005403.2	P34897-1
NP_001159831.1	P34897-3
NP_001159887.1	Q08426-2
NP_001957.2	Q08426-1
NP_001161067.1	Q9UHK6-5
NP_976316.1	Q9UHK6-4
NP_055139.4	Q9UHK6-1
NP_001161073.1	Q8WWR8-1
NP_001161072.1	Q8WWR8-1
NP_542779.2	Q8WWR8-2
NP_001161074.1	Q8WWR8-1
NP_001161093.1	Q9UBB4-2
NP_037368.1	Q9UBB4-1
NP_001161205.1	Q5ST30-3
NP_001161206.1	Q5ST30-4
NP_065175.4	Q5ST30-1
NP_001161419.1	O60830-2
NP_005825.1	O60830-1
NP_001161803.1	O95168-2
NP_004538.2	O95168-1
NP_001161870.1	P78382-2
NP_006407.1	P78382-1
NP_001165084.1	Q4J6C6-4
NP_001035845.1	Q4J6C6-2
NP_001035844.1	Q4J6C6-3
NP_006027.2	Q4J6C6-1
NP_001165088.1	Q4J6C6-4
NP_001165077.1	Q4J6C6-1
NP_001165074.1	Q4J6C6-1
NP_001165132.1	P00387-2
NP_001165131.1	P00387-3
NP_015565.1	P00387-2
NP_000389.1	P00387-1
NP_001123291.1	P00387-2
NP_001165285.1	P04181-2
NP_000265.1	P04181-1
NP_001165461.1	Q8NE22-2
NP_714917.2	Q8NE22-1
NP_001166115.1	O00142-3
NP_001166114.1	O00142-2
NP_004605.4	O00142-1
NP_001166927.1	P08559-3
NP_000275.1	P08559-1
NP_001166925.1	P08559-4
NP_001166926.1	P08559-2
NP_001170858.1	O15265-2
NP_001171565.1	P54687-4
NP_001171564.1	P54687-5
NP_001171563.1	P54687-2
NP_005495.2	P54687-1
NP_001171562.1	P54687-3
NP_001177793.1	P82673-2
NP_068593.2	P82673-1
NP_001177912.1	Q99807-2
NP_057222.2	Q99807-1
NP_001179.1	Q16611-1
NP_001180196.1	Q9NXA8-3
NP_112534.1	Q9NXA8-2
NP_036373.1	Q9NXA8-1
NP_001229756.1	Q9NXA8-4
NP_001180272.1	Q9NVS2-3
NP_060605.1	Q9NVS2-1
NP_001180380.1	Q8IUR5-5
NP_787057.2	Q8IUR5-1
NP_001180390.1	Q8IXL7-2
NP_001026849.1	Q8IXL7-2
NP_001180389.1	Q8IXL7-2
NP_932346.1	Q8IXL7-1
NP_001180467.1	Q8IUX1-5
NP_001243475.1	Q8IUX1-5
NP_060950.3	Q8IUX1-1
NP_001180546.1	P22307-4
NP_001007251.1	P22307-5
NP_002970.2	P22307-1
NP_001007100.1	P22307-2
NP_001180528.1	P22307-8
NP_001007101.1	P22307-6
NP_001007099.1	P22307-3
NP_001181924.1	Q9H3J6-1
NP_689482.1	Q9H3J6-1
NP_001137377.1	Q9H3J6-1
XP_005253687.1	Q9H3J6-1
NP_001182033.1	P00390-5
NP_001182032.1	P00390-4
NP_001182031.1	P00390-3
NP_000628.2	P00390-1
NP_001182180.1	Q7Z2E3-9
NP_778239.1	Q7Z2E3-9
NP_001182179.1	Q7Z2E3-5
NP_001182178.1	Q7Z2E3-7
NP_001182177.1	Q7Z2E3-7
NP_778243.1	Q7Z2E3-7
NP_001182183.1	Q7Z2E3-5
NP_001185464.1	Q8N573-7
NP_001185463.1	Q8N573-4
NP_001185462.1	Q8N573-8
NP_001185461.1	Q8N573-1
NP_851999.2	Q8N573-2
NP_060472.2	Q8N573-5
NP_001185625.1	Q9BRQ8-1
NP_116186.1	Q9BRQ8-1
NP_001185890.1	Q86YB7-1
NP_060751.2	Q86YB7-2
NP_001185918.1	Q9Y697-3
NP_066923.3	Q9Y697-1
NP_001186220.1	P51659-2
NP_001186221.1	P51659-3
NP_000405.1	P51659-1
NP_001186785.1	Q9UIJ7-2
NP_001186784.1	Q9UIJ7-2
NP_001186782.1	Q9UIJ7-2
NP_001186781.1	Q9UIJ7-3
NP_057366.2	Q9UIJ7-1
NP_001186886.1	O43674-2
NP_002483.1	O43674-1
NP_001188306.1	P49419-2
NP_001173.2	P49419-1
NP_001188330.1	P54803-3
NP_001188331.1	P54803-4
NP_000144.2	P54803-1
NP_001189364.1	P35498-1
NP_001159435.1	P35498-1
NP_001159436.1	P35498-3
NP_008851.3	P35498-2
NP_001189398.1	O75323-2
NP_001474.1	O75323-1
NP_001190984.1	O95298-2
NP_004540.1	O95298-1
NP_001190983.1	O95298-3
NP_001191818.1	P05091-2
NP_000681.2	P05091-1
NP_001192177.1	Q9UKU0-3
NP_056071.2	Q9UKU0-8
NP_001009185.1	Q9UKU0-1
NP_001192180.1	Q9UKU0-7
NP_001192179.1	Q9UKU0-9
NP_001193765.1	P62491-2
NP_004654.1	P62491-1
NP_001195.2	Q13873-1
NP_001201831.1	Q92731-5
NP_001219.2	Q14790-4
NP_203522.1	Q14790-5
NP_001073594.1	Q14790-9
NP_001073593.1	Q14790-2
NP_203520.1	Q14790-2
NP_203519.1	Q14790-1
NP_001229236.1	Q5JRX3-2
NP_055704.2	Q5JRX3-1
NP_001229238.1	Q5JRX3-3
NP_001229603.1	O43865-2
NP_001229602.1	O43865-2
NP_006612.2	O43865-1
NP_001229605.1	O43865-2
NP_001229604.1	O43865-2
NP_001229769.1	Q16774-3
NP_001152863.1	Q16774-1
NP_001152862.1	Q16774-2
NP_000849.1	Q16774-1
NP_001229768.1	Q16774-1
NP_001229832.1	Q92667-1
NP_001229831.1	Q92667-1
NP_003479.1	Q92667-1
NP_001230111.1	P35670-3
XP_005266487.1	P35670-1
NP_000044.2	P35670-1
NP_001231367.1	P05089-2
NP_000036.2	P05089-1
NP_001231501.1	P55957-4
NP_001231499.1	P55957-4
NP_001231498.1	P55957-4
NP_001231496.1	P55957-1
NP_932070.1	P55957-2
NP_932071.1	P55957-4
NP_001187.1	P55957-1
NP_001231535.1	Q96T52-1
NP_115938.1	Q96T52-1
NP_001231867.1	P10599-2
NP_003320.2	P10599-1
NP_001239579.1	Q8TC12-3
NP_057110.3	Q8TC12-1
NP_001239605.1	Q9NUB1-3
NP_001239606.1	Q9NUB1-4
NP_001239604.1	Q9NUB1-2
NP_115890.2	Q9NUB1-1
NP_001240795.1	Q96TA2-3
NP_055078.1	Q96TA2-2
NP_647473.1	Q96TA2-1
NP_001240804.1	Q8NBZ7-2
NP_001240805.1	Q8NBZ7-3
NP_079352.2	Q8NBZ7-1
NP_001242940.1	Q9NP80-3
XP_005250453.1	Q9NP80-2
NP_001242939.1	Q9NP80-3
NP_001242937.1	Q9NP80-1
NP_056538.1	Q9NP80-1
NP_001242938.1	Q9NP80-2
NP_001242936.1	Q9NP80-1
NP_001243056.1	Q96CB9-4
NP_950245.2	Q96CB9-1
NP_001243057.1	Q96CB9-4
NP_001243347.1	Q5TC12-2
NP_001230657.1	Q5TC12-3
NP_001243407.1	Q5EBM0-3
NP_001243406.1	Q5EBM0-4
NP_997198.2	Q5EBM0-1
NP_001243412.1	P34913-3
NP_001243411.1	P34913-2
NP_001970.2	P34913-1
NP_001243413.1	P34913-2
NP_001243459.1	P30536-1
NP_001243460.1	P30536-1
NP_000705.2	P30536-1
NP_001243606.1	Q9UBI4-5
NP_004800.2	Q9UBI4-1
NP_001243604.1	Q9UBI4-6
NP_001243603.1	Q9UBI4-4
